problem,category,instance,bks
NPFSP,Taillard,115.txt,26334
NPFSP,Taillard,116.txt,26477
NPFSP,Taillard,117.txt,26389
NPFSP,Taillard,118.txt,26560
NPFSP,Taillard,119.txt,26005
NPFSP,Taillard,120.txt,26457
NPFSP,VFR,121.txt,6198
NPFSP,VFR,122.txt,6306
NPFSP,VFR,123.txt,6238
NPFSP,VFR,124.txt,6245
NPFSP,VFR,125.txt,6296
NPFSP,VFR,126.txt,6321
NPFSP,VFR,127.txt,6434
NPFSP,VFR,128.txt,6104
NPFSP,VFR,129.txt,6354
NPFSP,VFR,130.txt,6145
NPFSP,VFR,131.txt,7881
NPFSP,VFR,132.txt,8007
NPFSP,VFR,133.txt,7935
NPFSP,VFR,134.txt,7932
NPFSP,VFR,135.txt,8011
NPFSP,VFR,136.txt,8023
NPFSP,VFR,137.txt,8006
NPFSP,VFR,138.txt,7979
NPFSP,VFR,139.txt,7931
NPFSP,VFR,140.txt,7952
NPFSP,VFR,141.txt,9395
NPFSP,VFR,142.txt,9596
NPFSP,VFR,143.txt,9349
NPFSP,VFR,144.txt,9426
NPFSP,VFR,145.txt,9465
NPFSP,VFR,146.txt,9667
NPFSP,VFR,147.txt,9391
NPFSP,VFR,148.txt,9534
NPFSP,VFR,149.txt,9527
NPFSP,VFR,150.txt,9598
NPFSP,VFR,151.txt,11305
NPFSP,VFR,152.txt,11265
NPFSP,VFR,153.txt,11327
NPFSP,VFR,154.txt,11208
NPFSP,VFR,155.txt,11208
NPFSP,VFR,156.txt,11367
NPFSP,VFR,157.txt,11380
NPFSP,VFR,158.txt,11141
NPFSP,VFR,159.txt,11123
NPFSP,VFR,160.txt,11310
NPFSP,VFR,161.txt,13132
NPFSP,VFR,162.txt,13102
NPFSP,VFR,163.txt,13264
NPFSP,VFR,164.txt,13232
NPFSP,VFR,165.txt,13043
NPFSP,VFR,166.txt,13124
NPFSP,VFR,167.txt,13299
NPFSP,VFR,168.txt,13238
NPFSP,VFR,169.txt,13166
NPFSP,VFR,170.txt,13228
NPFSP,VFR,171.txt,14990
NPFSP,VFR,172.txt,14954
NPFSP,VFR,173.txt,15200
NPFSP,VFR,174.txt,15044
NPFSP,VFR,175.txt,15130
NPFSP,VFR,176.txt,15035
NPFSP,VFR,177.txt,15040
NPFSP,VFR,178.txt,14968
NPFSP,VFR,179.txt,15022
NPFSP,VFR,180.txt,15000
NPFSP,VFR,181.txt,16149
NPFSP,VFR,182.txt,16512
NPFSP,VFR,183.txt,16173
NPFSP,VFR,184.txt,16181
NPFSP,VFR,185.txt,16342
NPFSP,VFR,186.txt,16137
NPFSP,VFR,187.txt,16266
NPFSP,VFR,188.txt,16416
NPFSP,VFR,189.txt,16376
NPFSP,VFR,190.txt,16899
NPFSP,VFR,191.txt,18298
NPFSP,VFR,192.txt,18454
NPFSP,VFR,193.txt,18457
NPFSP,VFR,194.txt,18351
NPFSP,VFR,195.txt,18484
NPFSP,VFR,196.txt,18449
NPFSP,VFR,197.txt,18419
NPFSP,VFR,198.txt,18392
NPFSP,VFR,199.txt,18394
NPFSP,VFR,200.txt,18401
NPFSP,VFR,201.txt,20522
NPFSP,VFR,202.txt,20399
NPFSP,VFR,203.txt,20434
NPFSP,VFR,204.txt,20395
NPFSP,VFR,205.txt,20341
NPFSP,VFR,206.txt,20388
NPFSP,VFR,207.txt,20457
NPFSP,VFR,208.txt,20410
NPFSP,VFR,209.txt,20549
NPFSP,VFR,210.txt,20472
NPFSP,VFR,211.txt,21120
NPFSP,VFR,212.txt,21457
NPFSP,VFR,213.txt,21441
NPFSP,VFR,214.txt,21247
NPFSP,VFR,215.txt,21553
NPFSP,VFR,216.txt,21214
NPFSP,VFR,217.txt,21625
NPFSP,VFR,218.txt,21277
NPFSP,VFR,219.txt,21346
NPFSP,VFR,220.txt,21538
NPFSP,VFR,221.txt,23578
NPFSP,VFR,222.txt,23456
NPFSP,VFR,223.txt,23575
NPFSP,VFR,224.txt,23409
NPFSP,VFR,225.txt,23339
NPFSP,VFR,226.txt,23444
NPFSP,VFR,227.txt,23556
NPFSP,VFR,228.txt,23411
NPFSP,VFR,229.txt,23637
NPFSP,VFR,230.txt,23720
NPFSP,VFR,231.txt,25607
NPFSP,VFR,232.txt,25656
NPFSP,VFR,233.txt,25821
NPFSP,VFR,234.txt,25837
NPFSP,VFR,235.txt,25877
NPFSP,VFR,236.txt,25536
NPFSP,VFR,237.txt,25600
NPFSP,VFR,238.txt,25800
NPFSP,VFR,239.txt,25882
NPFSP,VFR,240.txt,25767
NPFSP,VFR,241.txt,26411
NPFSP,VFR,242.txt,26681
NPFSP,VFR,243.txt,26409
NPFSP,VFR,244.txt,26124
NPFSP,VFR,245.txt,26781
NPFSP,VFR,246.txt,26443
NPFSP,VFR,247.txt,26433
NPFSP,VFR,248.txt,26318
NPFSP,VFR,249.txt,26442
NPFSP,VFR,250.txt,26072
NPFSP,VFR,251.txt,28548
NPFSP,VFR,252.txt,28793
NPFSP,VFR,253.txt,28607
NPFSP,VFR,254.txt,28828
NPFSP,VFR,255.txt,28683
NPFSP,VFR,256.txt,28524
NPFSP,VFR,257.txt,28760
NPFSP,VFR,258.txt,28698
NPFSP,VFR,259.txt,28870
NPFSP,VFR,260.txt,28758
NPFSP,VFR,261.txt,30861
NPFSP,VFR,262.txt,30828
NPFSP,VFR,263.txt,31125
NPFSP,VFR,264.txt,30928
NPFSP,VFR,265.txt,30935
NPFSP,VFR,266.txt,31027
NPFSP,VFR,267.txt,30928
NPFSP,VFR,268.txt,30988
NPFSP,VFR,269.txt,30978
NPFSP,VFR,270.txt,31050
NPFSP,VFR,271.txt,31433
NPFSP,VFR,272.txt,31418
NPFSP,VFR,273.txt,31429
NPFSP,VFR,274.txt,31547
NPFSP,VFR,275.txt,31448
NPFSP,VFR,276.txt,31717
NPFSP,VFR,277.txt,31527
NPFSP,VFR,278.txt,31564
NPFSP,VFR,279.txt,31577
NPFSP,VFR,280.txt,31130
NPFSP,VFR,281.txt,33839
NPFSP,VFR,282.txt,33467
NPFSP,VFR,283.txt,33866
NPFSP,VFR,284.txt,33693
NPFSP,VFR,285.txt,33553
NPFSP,VFR,286.txt,33809
NPFSP,VFR,287.txt,33686
NPFSP,VFR,288.txt,33482
NPFSP,VFR,289.txt,33697
NPFSP,VFR,290.txt,33642
NPFSP,VFR,291.txt,36198
NPFSP,VFR,292.txt,36184
NPFSP,VFR,293.txt,36201
NPFSP,VFR,294.txt,36136
NPFSP,VFR,295.txt,36153
NPFSP,VFR,296.txt,36116
NPFSP,VFR,297.txt,36179
NPFSP,VFR,298.txt,36185
NPFSP,VFR,299.txt,36195
NPFSP,VFR,300.txt,36163
NPFSP,VFR,301.txt,36394
NPFSP,VFR,302.txt,36337
NPFSP,VFR,303.txt,36568
NPFSP,VFR,304.txt,36452
NPFSP,VFR,305.txt,36584
NPFSP,VFR,306.txt,36671
NPFSP,VFR,307.txt,36624
NPFSP,VFR,308.txt,36522
NPFSP,VFR,309.txt,36329
NPFSP,VFR,310.txt,36417
NPFSP,VFR,311.txt,38964
NPFSP,VFR,312.txt,38775
NPFSP,VFR,313.txt,38621
NPFSP,VFR,314.txt,38785
NPFSP,VFR,315.txt,38671
NPFSP,VFR,316.txt,38710
NPFSP,VFR,317.txt,38585
NPFSP,VFR,318.txt,39059
NPFSP,VFR,319.txt,38814
NPFSP,VFR,320.txt,38850
NPFSP,VFR,321.txt,41436
NPFSP,VFR,322.txt,41375
NPFSP,VFR,323.txt,41317
NPFSP,VFR,324.txt,41401
NPFSP,VFR,325.txt,41262
NPFSP,VFR,326.txt,41340
NPFSP,VFR,327.txt,40876
NPFSP,VFR,328.txt,41474
NPFSP,VFR,329.txt,41291
NPFSP,VFR,330.txt,41377
NPFSP,VFR,331.txt,41558
NPFSP,VFR,332.txt,41407
NPFSP,VFR,333.txt,41425
NPFSP,VFR,334.txt,41426
NPFSP,VFR,335.txt,41710
NPFSP,VFR,336.txt,42010
NPFSP,VFR,337.txt,41425
NPFSP,VFR,338.txt,41492
NPFSP,VFR,339.txt,41796
NPFSP,VFR,340.txt,41574
NPFSP,VFR,341.txt,43671
NPFSP,VFR,342.txt,43746
NPFSP,VFR,343.txt,43749
NPFSP,VFR,344.txt,43892
NPFSP,VFR,345.txt,43905
NPFSP,VFR,346.txt,43811
NPFSP,VFR,347.txt,43766
NPFSP,VFR,348.txt,43839
NPFSP,VFR,349.txt,43879
NPFSP,VFR,350.txt,43861
NPFSP,VFR,351.txt,46470
NPFSP,VFR,352.txt,46493
NPFSP,VFR,353.txt,46389
NPFSP,VFR,354.txt,46457
NPFSP,VFR,355.txt,46401
NPFSP,VFR,356.txt,46421
NPFSP,VFR,357.txt,46319
NPFSP,VFR,358.txt,46474
NPFSP,VFR,359.txt,46538
NPFSP,VFR,360.txt,46244
TCT-PFSP,Taillard,1.txt,14033
TCT-PFSP,Taillard,2.txt,15151
TCT-PFSP,Taillard,3.txt,13301
TCT-PFSP,Taillard,4.txt,15447
TCT-PFSP,Taillard,5.txt,13529
TCT-PFSP,Taillard,6.txt,13123
TCT-PFSP,Taillard,7.txt,13548
TCT-PFSP,Taillard,8.txt,13948
TCT-PFSP,Taillard,9.txt,14295
TCT-PFSP,Taillard,10.txt,12943
TCT-PFSP,Taillard,11.txt,20911
TCT-PFSP,Taillard,12.txt,22440
TCT-PFSP,Taillard,13.txt,19833
TCT-PFSP,Taillard,14.txt,18710
TCT-PFSP,Taillard,15.txt,18641
TCT-PFSP,Taillard,16.txt,19245
TCT-PFSP,Taillard,17.txt,18363
TCT-PFSP,Taillard,18.txt,20241
TCT-PFSP,Taillard,19.txt,20330
TCT-PFSP,Taillard,20.txt,21320
TCT-PFSP,Taillard,21.txt,33623
TCT-PFSP,Taillard,22.txt,31587
TCT-PFSP,Taillard,23.txt,33920
TCT-PFSP,Taillard,24.txt,31661
TCT-PFSP,Taillard,25.txt,34557
TCT-PFSP,Taillard,26.txt,32564
TCT-PFSP,Taillard,27.txt,32922
TCT-PFSP,Taillard,28.txt,32412
TCT-PFSP,Taillard,29.txt,33600
TCT-PFSP,Taillard,30.txt,32262
TCT-PFSP,Taillard,31.txt,64802
TCT-PFSP,Taillard,32.txt,68051
TCT-PFSP,Taillard,33.txt,63162
TCT-PFSP,Taillard,34.txt,68226
TCT-PFSP,Taillard,35.txt,69351
TCT-PFSP,Taillard,36.txt,66841
TCT-PFSP,Taillard,37.txt,66253
TCT-PFSP,Taillard,38.txt,64332
TCT-PFSP,Taillard,39.txt,62981
TCT-PFSP,Taillard,40.txt,68770
TCT-PFSP,Taillard,41.txt,87114
TCT-PFSP,Taillard,42.txt,82820
TCT-PFSP,Taillard,43.txt,79931
TCT-PFSP,Taillard,44.txt,86446
TCT-PFSP,Taillard,45.txt,86377
TCT-PFSP,Taillard,46.txt,86587
TCT-PFSP,Taillard,47.txt,88750
TCT-PFSP,Taillard,48.txt,86727
TCT-PFSP,Taillard,49.txt,85441
TCT-PFSP,Taillard,50.txt,87998
TCT-PFSP,Taillard,51.txt,125831
