Title;J90
Description;Dataset proposed in the paper Kolisch, R. and A. Sprecher (1996): PSPLIB - A project scheduling library, European Journal of Operational Research, Vol. 96,pp. 205--216.
Number;480
Format;sm
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
11;j902_1.sm;0;0;96;CPM;0;96;1;3;96;1;3;96;533;90;1,467;0,207;0,146;0,445;0,008;0,770;0,348;4;0,250;1,000;0,519;0,250;0;0,000;0,000;0,000;0,000;1,000
12;j902_2.sm;0;0;114;CPM;0;114;1;1;114;1;1;114;473;90;1,467;0,273;0,191;0,368;0,006;0,779;0,343;4;0,250;1,000;0,510;0,283;0;0,000;0,000;0,000;0,000;1,000
13;j902_3.sm;0;0;75;CPM;0;75;1;1;75;1;1;75;486;90;1,467;0,192;0,124;0,364;0,006;0,764;0,268;4;0,250;1,000;0,500;0,273;0;0,000;0,000;0,000;0,000;1,000
14;j902_4.sm;0;0;70;CPM;0;70;1;0;70;1;0;70;473;90;1,467;0,197;0,146;0,383;0,004;0,780;0,368;4;0,250;1,000;0,508;0,247;0;0,000;0,000;0,000;0,000;1,000
15;j902_5.sm;0;0;100;CPM;0;100;1;1;100;1;1;100;511;90;1,467;0,224;0,146;0,403;0,007;0,730;0,298;4;0,250;1,000;0,539;0,291;0;0,000;0,000;0,000;0,000;1,000
16;j902_6.sm;0;0;67;CPM;0;67;1;1;67;1;1;67;469;90;1,467;0,206;0,135;0,429;0,012;0,804;0,305;4;0,250;1,000;0,509;0,234;0;0,000;0,000;0,000;0,000;1,000
17;j902_7.sm;0;0;92;CPM;0;92;1;2;92;1;2;92;516;90;1,467;0,203;0,135;0,415;0,006;0,756;0,317;4;0,250;1,000;0,523;0,262;0;0,000;0,000;0,000;0,000;1,000
18;j902_8.sm;0;0;82;CPM;0;82;1;1;82;1;1;82;538;90;1,467;0,194;0,124;0,378;0,005;0,753;0,259;4;0,250;1,000;0,514;0,245;0;0,000;0,000;0,000;0,000;1,000
19;j902_9.sm;0;0;79;CPM;0;79;1;3;79;1;3;79;519;90;1,467;0,207;0,124;0,322;0,005;0,787;0,224;4;0,250;1,000;0,524;0,274;0;0,000;0,000;0,000;0,000;1,000
20;j902_10.sm;0;0;80;CPM;0;80;1;2;80;1;2;80;506;90;1,467;0,214;0,124;0,315;0,009;0,771;0,220;4;0,250;1,000;0,524;0,274;0;0,000;0,000;0,000;0,000;1,000
21;j903_1.sm;0;0;81;CPM;0;81;1;0;81;1;0;81;443;90;1,467;0,226;0,169;0,375;0,003;0,721;0,398;4;0,250;1,000;0,688;0,227;0;0,000;0,000;0,000;0,000;1,000
22;j903_2.sm;0;0;84;CPM;0;84;1;0;84;1;0;84;475;90;1,467;0,219;0,135;0,359;0,007;0,770;0,235;4;0,250;1,000;0,709;0,211;0;0,000;0,000;0,000;0,000;1,000
23;j903_3.sm;0;0;71;CPM;0;71;1;1;71;1;1;71;460;90;1,467;0,226;0,157;0,371;0,011;0,718;0,350;4;0,250;1,000;0,717;0,229;0;0,000;0,000;0,000;0,000;1,000
24;j903_4.sm;0;0;104;CPM;0;104;1;0;104;1;0;104;516;90;1,467;0,224;0,157;0,357;0,007;0,732;0,354;4;0,250;1,000;0,699;0,238;0;0,000;0,000;0,000;0,000;1,000
25;j903_5.sm;0;0;75;CPM;0;75;1;1;75;1;1;75;508;90;1,467;0,208;0,124;0,350;0,006;0,758;0,213;4;0,250;1,000;0,689;0,203;0;0,000;0,000;0,000;0,000;1,000
26;j903_6.sm;0;0;68;CPM;0;68;1;0;68;1;0;68;459;90;1,467;0,225;0,135;0,290;0,011;0,774;0,262;4;0,250;1,000;0,709;0,219;0;0,000;0,000;0,000;0,000;1,000
27;j903_7.sm;0;0;87;CPM;0;87;1;0;87;1;0;87;457;90;1,467;0,208;0,157;0,314;0,003;0,694;0,346;4;0,250;1,000;0,719;0,241;0;0,000;0,000;0,000;0,000;1,000
28;j903_8.sm;0;0;86;CPM;0;86;1;1;86;1;1;86;497;90;1,467;0,222;0,135;0,400;0,004;0,756;0,255;4;0,250;1,000;0,687;0,225;0;0,000;0,000;0,000;0,000;1,000
29;j903_9.sm;0;0;61;CPM;0;61;1;7;61;1;7;61;480;90;1,467;0,192;0,124;0,322;0,004;0,749;0,277;4;0,250;1,000;0,703;0,199;0;0,000;0,000;0,000;0,000;1,000
30;j903_10.sm;0;0;65;CPM;0;65;1;0;65;1;0;65;492;90;1,467;0,187;0,135;0,386;0,011;0,780;0,301;4;0,250;1,000;0,685;0,218;0;0,000;0,000;0,000;0,000;1,000
31;j904_1.sm;0;0;93;CPM;0;93;1;0;93;1;0;93;494;90;1,467;0,217;0,169;0,389;0,011;0,779;0,403;4;0,250;1,000;1,000;0,181;0;0,000;0,000;0,000;0,000;1,000
32;j904_2.sm;0;0;89;CPM;0;89;1;0;89;1;0;89;500;90;1,467;0,243;0,135;0,317;0,009;0,741;0,210;4;0,250;1,000;1,000;0,216;0;0,000;0,000;0,000;0,000;1,000
33;j904_3.sm;0;0;67;CPM;0;67;1;0;67;1;0;67;467;90;1,467;0,218;0,135;0,372;0,005;0,719;0,239;4;0,250;1,000;1,000;0,179;0;0,000;0,000;0,000;0,000;1,000
34;j904_4.sm;0;0;92;CPM;0;92;1;0;92;1;0;92;495;90;1,467;0,214;0,146;0,326;0,008;0,735;0,283;4;0,250;1,000;1,000;0,193;0;0,000;0,000;0,000;0,000;1,000
35;j904_5.sm;0;0;88;CPM;0;88;1;0;88;1;0;88;504;90;1,467;0,216;0,135;0,276;0,005;0,719;0,251;4;0,250;1,000;1,000;0,226;0;0,000;0,000;0,000;0,000;1,000
36;j904_6.sm;0;0;78;CPM;0;78;1;0;78;1;0;78;486;90;1,467;0,206;0,124;0,371;0,009;0,796;0,224;4;0,250;1,000;1,000;0,170;0;0,000;0,000;0,000;0,000;1,000
37;j904_7.sm;0;0;80;CPM;0;80;1;0;80;1;0;80;522;90;1,467;0,190;0,135;0,442;0,007;0,774;0,355;4;0,250;1,000;1,000;0,166;0;0,000;0,000;0,000;0,000;1,000
38;j904_8.sm;0;0;69;CPM;0;69;1;0;69;1;0;69;420;90;1,467;0,176;0,124;0,371;0,007;0,747;0,267;4;0,250;1,000;1,000;0,175;0;0,000;0,000;0,000;0,000;1,000
39;j904_9.sm;0;0;79;CPM;0;79;1;0;79;1;0;79;479;90;1,467;0,216;0,124;0,308;0,016;0,782;0,174;4;0,250;1,000;1,000;0,204;0;0,000;0,000;0,000;0,000;1,000
40;j904_10.sm;0;0;68;CPM;0;68;1;1;68;1;1;68;466;90;1,467;0,211;0,146;0,368;0,010;0,776;0,328;4;0,250;1,000;1,000;0,138;0;0,000;0,000;0,000;0,000;1,000
41;j905_1.sm;0;0;78;4;0;78;3;10000;78;4;0;66;455;90;1,467;0,197;0,146;0,488;0,003;0,724;0,379;4;0,503;2,011;0,200;0,256;0;0,000;0,000;0,000;0,000;1,000
42;j905_2.sm;0;0;93;4;0;93;3;10000;93;4;0;90;500;90;1,467;0,206;0,146;0,423;0,005;0,741;0,350;4;0,503;2,011;0,205;0,285;0;0,000;0,000;0,000;0,000;1,000
43;j905_3.sm;0;0;83;5;0;87;3;12000;0;0;0;62;457;90;1,467;0,165;0,112;0,394;0,008;0,800;0,268;4;0,503;2,011;0,201;0,295;0;0,000;0,000;0,000;0,000;1,000
44;j905_4.sm;0;0;102;8;1891000;102;8;1891000;102;8;1891000;90;540;90;1,467;0,213;0,146;0,439;0,008;0,785;0,320;4;0,503;2,011;0,199;0,285;0;0,000;0,000;0,000;0,000;1,000
45;j905_5.sm;0;0;111;8;23852000;111;3;12000;111;8;23852000;79;518;90;1,467;0,217;0,157;0,414;0,003;0,745;0,349;4;0,503;2,011;0,201;0,299;0;0,000;0,000;0,000;0,000;1,000
46;j905_6.sm;0;0;86;8;6030000;86;3;1000;86;8;6030000;75;492;90;1,467;0,217;0,146;0,445;0,007;0,754;0,259;4;0,503;2,011;0,196;0,266;0;0,000;0,000;0,000;0,000;1,000
47;j905_7.sm;0;0;107;8;14736000;107;8;14736000;107;8;14736000;79;488;90;1,467;0,211;0,124;0,308;0,014;0,798;0,217;4;0,503;2,011;0,206;0,301;0;0,000;0,000;0,000;0,000;1,000
48;j905_8.sm;0;0;96;4;0;102;8;0;0;0;0;75;519;90;1,467;0,220;0,146;0,439;0,005;0,817;0,290;4;0,503;2,011;0,204;0,294;0;0,000;0,000;0,000;0,000;1,000
49;j905_9.sm;0;0;115;8;4666000;115;3;1000;115;8;4666000;94;497;90;1,467;0,210;0,157;0,414;0,010;0,749;0,380;4;0,503;2,011;0,196;0,353;0;0,000;0,000;0,000;0,000;1,000
50;j905_10.sm;0;0;94;6;3600030;96;3;12000;0;0;0;78;519;90;1,467;0,205;0,124;0,301;0,005;0,744;0,241;4;0,503;2,011;0,203;0,290;0;0,000;0,000;0,000;0,000;1,000
51;j906_1.sm;0;0;82;CPM;0;82;1;1;82;1;1;82;457;90;1,467;0,234;0,157;0,343;0,002;0,730;0,302;4;0,503;2,011;0,511;0,171;0;0,000;0,000;0,000;0,000;1,000
52;j906_2.sm;0;0;86;CPM;0;86;1;2;86;1;2;86;493;90;1,467;0,211;0,169;0,503;0,008;0,749;0,444;4;0,503;2,011;0,502;0,190;0;0,000;0,000;0,000;0,000;1,000
53;j906_3.sm;0;0;77;8;290;77;3;10000;77;8;290;75;510;90;1,467;0,224;0,146;0,360;0,004;0,770;0,280;4;0,503;2,011;0,503;0,199;0;0,000;0,000;0,000;0,000;1,000
54;j906_4.sm;0;0;80;CPM;0;80;1;2;80;1;2;80;475;90;1,467;0,181;0,124;0,364;0,006;0,738;0,284;4;0,503;2,011;0,504;0,159;0;0,000;0,000;0,000;0,000;1,000
55;j906_5.sm;0;0;71;CPM;0;71;1;18;71;1;18;71;498;90;1,467;0,199;0,135;0,287;0,005;0,697;0,262;4;0,503;2,011;0,506;0,176;0;0,000;0,000;0,000;0,000;1,000
56;j906_6.sm;0;0;98;CPM;0;98;1;8;98;1;8;98;503;90;1,467;0,226;0,157;0,471;0,012;0,732;0,318;4;0,503;2,011;0,515;0,180;0;0,000;0,000;0,000;0,000;1,000
57;j906_7.sm;0;0;71;CPM;0;71;1;2;71;1;2;71;470;90;1,467;0,217;0,124;0,294;0,009;0,709;0,204;4;0,503;2,011;0,504;0,158;0;0,000;0,000;0,000;0,000;1,000
58;j906_8.sm;0;0;68;8;400;68;3;10000;68;8;400;67;505;90;1,467;0,197;0,112;0,349;0,009;0,775;0,195;4;0,503;2,011;0,505;0,171;0;0,000;0,000;0,000;0,000;1,000
59;j906_9.sm;0;0;68;CPM;0;68;1;5;68;1;5;68;493;90;1,467;0,193;0,124;0,378;0,005;0,773;0,268;4;0,503;2,011;0,500;0,154;0;0,000;0,000;0,000;0,000;1,000
60;j906_10.sm;0;0;94;CPM;0;94;1;2;94;1;2;94;548;90;1,467;0,203;0,146;0,445;0,005;0,765;0,315;4;0,503;2,011;0,509;0,174;0;0,000;0,000;0,000;0,000;1,000
61;j907_1.sm;0;0;88;CPM;0;88;1;3;88;1;3;88;474;90;1,467;0,229;0,157;0,443;0,005;0,805;0,310;4;0,503;2,011;0,703;0,116;0;0,000;0,000;0,000;0,000;1,000
62;j907_2.sm;0;0;77;CPM;0;77;1;1;77;1;1;77;484;90;1,467;0,204;0,146;0,445;0,002;0,730;0,341;4;0,503;2,011;0,698;0,117;0;0,000;0,000;0,000;0,000;1,000
63;j907_3.sm;0;0;80;CPM;0;80;1;1;80;1;1;80;498;90;1,467;0,229;0,135;0,262;0,008;0,735;0,213;4;0,503;2,011;0,704;0,145;0;0,000;0,000;0,000;0,000;1,000
64;j907_4.sm;0;0;86;CPM;0;86;1;1;86;1;1;86;472;90;1,467;0,203;0,157;0,329;0,002;0,720;0,391;4;0,503;2,011;0,703;0,155;0;0,000;0,000;0,000;0,000;1,000
65;j907_5.sm;0;0;79;CPM;0;79;1;1;79;1;1;79;465;90;1,467;0,223;0,135;0,385;0,006;0,733;0,242;4;0,503;2,011;0,702;0,151;0;0,000;0,000;0,000;0,000;1,000
66;j907_6.sm;0;0;90;CPM;0;90;1;1;90;1;1;90;478;90;1,467;0,180;0,124;0,392;0,006;0,758;0,296;4;0,503;2,011;0,700;0,154;0;0,000;0,000;0,000;0,000;1,000
67;j907_7.sm;0;0;90;CPM;0;90;1;1;90;1;1;90;471;90;1,467;0,201;0,146;0,431;0,004;0,796;0,347;4;0,503;2,011;0,699;0,131;0;0,000;0,000;0,000;0,000;1,000
68;j907_8.sm;0;0;60;CPM;0;60;1;7;60;1;7;60;460;90;1,467;0,188;0,112;0,347;0,007;0,778;0,178;4;0,503;2,011;0,699;0,115;0;0,000;0,000;0,000;0,000;1,000
69;j907_9.sm;0;0;83;CPM;0;83;1;1;83;1;1;83;512;90;1,467;0,208;0,146;0,403;0,004;0,772;0,313;4;0,503;2,011;0,698;0,158;0;0,000;0,000;0,000;0,000;1,000
70;j907_10.sm;0;0;98;CPM;0;98;1;0;98;1;0;98;540;90;1,467;0,200;0,157;0,357;0,008;0,723;0,374;4;0,503;2,011;0,701;0,142;0;0,000;0,000;0,000;0,000;1,000
71;j908_1.sm;0;0;96;CPM;0;96;1;1;96;1;1;96;528;90;1,467;0,204;0,157;0,400;0,003;0,692;0,396;4;0,503;2,011;1,000;0,119;0;0,000;0,000;0,000;0,000;1,000
72;j908_2.sm;0;0;78;CPM;0;78;1;1;78;1;1;78;418;90;1,467;0,222;0,157;0,429;0,007;0,774;0,326;4;0,503;2,011;1,000;0,129;0;0,000;0,000;0,000;0,000;1,000
73;j908_3.sm;0;0;70;CPM;0;70;1;0;70;1;0;70;486;90;1,467;0,199;0,146;0,429;0,004;0,769;0,345;4;0,503;2,011;1,000;0,093;0;0,000;0,000;0,000;0,000;1,000
74;j908_4.sm;0;0;77;CPM;0;77;1;1;77;1;1;77;538;90;1,467;0,206;0,135;0,275;0,011;0,717;0,254;4;0,503;2,011;1,000;0,113;0;0,000;0,000;0,000;0,000;1,000
75;j908_5.sm;0;0;63;CPM;0;63;1;0;63;1;0;63;494;90;1,467;0,195;0,124;0,329;0,005;0,744;0,268;4;0,503;2,011;1,000;0,086;0;0,000;0,000;0,000;0,000;1,000
76;j908_6.sm;0;0;70;CPM;0;70;1;0;70;1;0;70;504;90;1,467;0,209;0,124;0,371;0,012;0,778;0,233;4;0,503;2,011;1,000;0,091;0;0,000;0,000;0,000;0,000;1,000
77;j908_7.sm;0;0;77;CPM;0;77;1;1;77;1;1;77;509;90;1,467;0,192;0,146;0,480;0,008;0,783;0,368;4;0,503;2,011;1,000;0,105;0;0,000;0,000;0,000;0,000;1,000
78;j908_8.sm;0;0;68;CPM;0;68;1;0;68;1;0;68;501;90;1,467;0,180;0,124;0,413;0,006;0,773;0,330;4;0,503;2,011;1,000;0,087;0;0,000;0,000;0,000;0,000;1,000
79;j908_9.sm;0;0;97;CPM;0;97;1;0;97;1;0;97;542;90;1,467;0,221;0,157;0,343;0,003;0,704;0,347;4;0,503;2,011;1,000;0,110;0;0,000;0,000;0,000;0,000;1,000
80;j908_10.sm;0;0;88;CPM;0;88;1;0;88;1;0;88;478;90;1,467;0,196;0,146;0,431;0,011;0,770;0,340;4;0,503;2,011;1,000;0,115;0;0,000;0,000;0,000;0,000;1,000
81;j909_1.sm;0;0;100;8;0;104;8;0;0;0;0;80;479;90;1,467;0,200;0,157;0,386;0,002;0,694;0,375;4;0,753;3,011;0,198;0,233;0;0,000;0,000;0,000;0,000;1,000
82;j909_2.sm;0;0;121;5;0;128;3;12000;0;0;0;92;523;90;1,467;0,224;0,157;0,386;0,003;0,711;0,318;4;0,753;3,011;0,198;0,254;0;0,000;0,000;0,000;0,000;1,000
83;j909_3.sm;0;0;98;6;3600010;102;3;12000;0;0;0;67;472;90;1,467;0,193;0,124;0,294;0,010;0,727;0,246;4;0,753;3,011;0,196;0,237;0;0,000;0,000;0,000;0,000;1,000
84;j909_4.sm;0;0;120;6;3600020;127;3;12000;0;0;0;81;511;90;1,467;0,225;0,135;0,317;0,007;0,758;0,200;4;0,753;3,011;0,201;0,262;0;0,000;0,000;0,000;0,000;1,000
85;j909_5.sm;0;0;127;6;3600010;139;3;12000;0;0;0;89;510;90;1,467;0,218;0,124;0,266;0,010;0,727;0,176;4;0,753;3,011;0,201;0,285;0;0,000;0,000;0,000;0,000;1,000
86;j909_6.sm;0;0;113;6;3600020;118;3;12000;0;0;0;88;507;90;1,467;0,210;0,157;0,414;0,006;0,798;0,362;4;0,753;3,011;0,201;0,250;0;0,000;0,000;0,000;0,000;1,000
87;j909_7.sm;0;0;102;2;21;108;3;12000;0;0;0;74;502;90;1,467;0,196;0,135;0,358;0,005;0,749;0,319;4;0,753;3,011;0,201;0,257;0;0,000;0,000;0,000;0,000;1,000
88;j909_8.sm;0;0;110;5;0;116;3;12000;0;0;0;75;501;90;1,467;0,210;0,124;0,350;0,009;0,787;0,252;4;0,753;3,011;0,196;0,254;0;0,000;0,000;0,000;0,000;1,000
89;j909_9.sm;0;0;107;8;0;115;3;13000;0;0;0;77;483;90;1,467;0,210;0,135;0,415;0,005;0,770;0,278;4;0,753;3,011;0,205;0,262;0;0,000;0,000;0,000;0,000;1,000
90;j909_10.sm;0;0;105;6;3600010;111;3;1000;0;0;0;77;501;90;1,467;0,234;0,135;0,288;0,009;0,764;0,214;4;0,753;3,011;0,195;0,245;0;0,000;0,000;0,000;0,000;1,000
91;j9010_1.sm;0;0;77;CPM;0;77;1;3;77;1;3;77;488;90;1,467;0,197;0,124;0,413;0,010;0,784;0,256;4;0,753;3,011;0,502;0,122;0;0,000;0,000;0,000;0,000;1,000
92;j9010_2.sm;0;0;95;CPM;0;95;1;1;95;1;1;95;527;90;1,467;0,242;0,169;0,317;0,006;0,717;0,324;4;0,753;3,011;0,508;0,159;0;0,000;0,000;0,000;0,000;1,000
93;j9010_3.sm;0;0;112;CPM;0;112;1;1;112;1;1;112;520;90;1,467;0,214;0,157;0,486;0,005;0,764;0,354;4;0,753;3,011;0,508;0,151;0;0,000;0,000;0,000;0,000;1,000
94;j9010_4.sm;0;0;94;CPM;0;94;1;3;94;1;3;94;541;90;1,467;0,204;0,146;0,474;0,008;0,759;0,342;4;0,753;3,011;0,505;0,111;0;0,000;0,000;0,000;0,000;1,000
95;j9010_5.sm;0;0;78;CPM;0;78;1;3;78;1;3;78;528;90;1,467;0,183;0,157;0,443;0,008;0,785;0,450;4;0,753;3,011;0,505;0,111;0;0,000;0,000;0,000;0,000;1,000
96;j9010_6.sm;0;0;92;CPM;0;92;1;1;92;1;1;92;451;90;1,467;0,214;0,180;0,461;0,005;0,757;0,408;4;0,753;3,011;0,502;0,143;0;0,000;0,000;0,000;0,000;1,000
97;j9010_7.sm;0;0;83;CPM;0;83;1;3;83;1;3;83;487;90;1,467;0,182;0,124;0,413;0,013;0,816;0,303;4;0,753;3,011;0,504;0,125;0;0,000;0,000;0,000;0,000;1,000
98;j9010_8.sm;0;0;81;CPM;0;81;1;1;81;1;1;81;488;90;1,467;0,208;0,135;0,372;0,012;0,834;0,281;4;0,753;3,011;0,500;0,161;0;0,000;0,000;0,000;0,000;1,000
99;j9010_9.sm;0;0;88;CPM;0;88;1;1;88;1;1;88;503;90;1,467;0,234;0,146;0,346;0,006;0,741;0,269;4;0,753;3,011;0,502;0,132;0;0,000;0,000;0,000;0,000;1,000
100;j9010_10.sm;0;0;75;CPM;0;75;1;5515;75;1;5515;75;466;90;1,467;0,230;0,146;0,451;0,007;0,763;0,283;4;0,753;3,011;0,502;0,140;0;0,000;0,000;0,000;0,000;1,000
101;j9011_1.sm;0;0;86;CPM;0;86;1;1;86;1;1;86;493;90;1,467;0,225;0,146;0,409;0,005;0,772;0,289;4;0,753;3,011;0,700;0,121;0;0,000;0,000;0,000;0,000;1,000
102;j9011_2.sm;0;0;99;CPM;0;99;1;1;99;1;1;99;515;90;1,467;0,255;0,180;0,223;0,007;0,680;0,319;4;0,753;3,011;0,694;0,149;0;0,000;0,000;0,000;0,000;1,000
103;j9011_3.sm;0;0;69;CPM;0;69;1;1;69;1;1;69;475;90;1,467;0,197;0,124;0,434;0,010;0,791;0,231;4;0,753;3,011;0,704;0,109;0;0,000;0,000;0,000;0,000;1,000
104;j9011_4.sm;0;0;64;CPM;0;64;1;1;64;1;1;64;484;90;1,467;0,199;0,124;0,392;0,004;0,811;0,258;4;0,753;3,011;0,704;0,113;0;0,000;0,000;0,000;0,000;1,000
105;j9011_5.sm;0;0;81;CPM;0;81;1;1;81;1;1;81;490;90;1,467;0,213;0,157;0,414;0,013;0,791;0,374;4;0,753;3,011;0,698;0,102;0;0,000;0,000;0,000;0,000;1,000
106;j9011_6.sm;0;0;78;CPM;0;78;1;1;78;1;1;78;531;90;1,467;0,210;0,135;0,373;0,005;0,749;0,282;4;0,753;3,011;0,701;0,103;0;0,000;0,000;0,000;0,000;1,000
107;j9011_7.sm;0;0;95;CPM;0;95;1;0;95;1;0;95;477;90;1,467;0,239;0,169;0,312;0,007;0,724;0,348;4;0,753;3,011;0,702;0,108;0;0,000;0,000;0,000;0,000;1,000
108;j9011_8.sm;0;0;82;CPM;0;82;1;1;82;1;1;82;502;90;1,467;0,192;0,135;0,345;0,017;0,792;0,314;4;0,753;3,011;0,703;0,121;0;0,000;0,000;0,000;0,000;1,000
109;j9011_9.sm;0;0;81;CPM;0;81;1;1;81;1;1;81;492;90;1,467;0,208;0,124;0,385;0,013;0,807;0,237;4;0,753;3,011;0,703;0,116;0;0,000;0,000;0,000;0,000;1,000
110;j9011_10.sm;0;0;81;CPM;0;81;1;0;81;1;0;81;455;90;1,467;0,223;0,146;0,320;0,011;0,757;0,287;4;0,753;3,011;0,703;0,128;0;0,000;0,000;0,000;0,000;1,000
111;j9012_1.sm;0;0;71;CPM;0;71;1;1;71;1;1;71;485;90;1,467;0,212;0,146;0,338;0,003;0,702;0,341;4;0,753;3,011;1,000;0,071;0;0,000;0,000;0,000;0,000;1,000
112;j9012_2.sm;0;0;71;CPM;0;71;1;0;71;1;0;71;463;90;1,467;0,205;0,135;0,429;0,007;0,770;0,275;4;0,753;3,011;1,000;0,068;0;0,000;0,000;0,000;0,000;1,000
113;j9012_3.sm;0;0;93;CPM;0;93;1;1;93;1;1;93;538;90;1,467;0,240;0,146;0,326;0,006;0,750;0,239;4;0,753;3,011;1,000;0,078;0;0,000;0,000;0,000;0,000;1,000
114;j9012_4.sm;0;0;73;CPM;0;73;1;1;73;1;1;73;527;90;1,467;0,222;0,169;0,485;0,011;0,806;0,374;4;0,753;3,011;1,000;0,069;0;0,000;0,000;0,000;0,000;1,000
115;j9012_5.sm;0;0;83;CPM;0;83;1;0;83;1;0;83;503;90;1,467;0,206;0,135;0,443;0,006;0,780;0,282;4;0,753;3,011;1,000;0,070;0;0,000;0,000;0,000;0,000;1,000
116;j9012_6.sm;0;0;81;CPM;0;81;1;0;81;1;0;81;481;90;1,467;0,200;0,146;0,417;0,007;0,774;0,365;4;0,753;3,011;1,000;0,074;0;0,000;0,000;0,000;0,000;1,000
117;j9012_7.sm;0;0;77;CPM;0;77;1;0;77;1;0;77;524;90;1,467;0,209;0,124;0,308;0,003;0,747;0,198;4;0,753;3,011;1,000;0,073;0;0,000;0,000;0,000;0,000;1,000
118;j9012_8.sm;0;0;83;CPM;0;83;1;0;83;1;0;83;480;90;1,467;0,201;0,135;0,415;0,013;0,806;0,288;4;0,753;3,011;1,000;0,070;0;0,000;0,000;0,000;0,000;1,000
119;j9012_9.sm;0;0;77;CPM;0;77;1;1;77;1;1;77;513;90;1,467;0,228;0,135;0,289;0,009;0,758;0,250;4;0,753;3,011;1,000;0,072;0;0,000;0,000;0,000;0,000;1,000
120;j9012_10.sm;0;0;86;CPM;0;86;1;1;86;1;1;86;482;90;1,467;0,225;0,157;0,357;0,008;0,747;0,348;4;0,753;3,011;1,000;0,083;0;0,000;0,000;0,000;0,000;1,000
121;j9013_1.sm;0;0;129;5;0;137;7;0;0;0;0;82;455;90;1,467;0,214;0,146;0,346;0,003;0,709;0,313;4;1,000;4,000;0,205;0,257;0;0,000;0,000;0,000;0,000;1,000
122;j9013_2.sm;0;0;118;6;3600030;126;7;0;0;0;0;77;524;90;1,467;0,218;0,135;0,372;0,008;0,798;0,276;4;1,000;4,000;0,201;0,212;0;0,000;0,000;0,000;0,000;1,000
123;j9013_3.sm;0;0;104;6;3600010;108;3;12000;0;0;0;80;475;90;1,467;0,214;0,146;0,474;0,006;0,791;0,307;4;1,000;4,000;0,198;0,203;0;0,000;0,000;0,000;0,000;1,000
124;j9013_4.sm;0;0;109;5;0;112;3;12000;0;0;0;81;495;90;1,467;0,208;0,135;0,455;0,006;0,772;0,274;4;1,000;4,000;0,199;0,199;0;0,000;0,000;0,000;0,000;1,000
