Title;MMLIB 50
Description;"Van Peteghem, V. and Vanhoucke, M., 2014, ""An experimental investigation of metaheuristics for the multi-mode resource-constrained project scheduling problem on new dataset instances"", European Journal of Operational Research, 235(1), 62–72 (doi:10.1016/j.ejor.2013.10.012)."
Number;540
Format;mm
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
17;J504_2.mm;0;0;18;CPM;0;18;1;344000;18;4;13578;18;407;50;4,140;0,261;0,061;0,261;0,131;0,619;0,261;4;0,890;1,780;0,237;0,091;0;1,000;2,000;0,502;0,020;3,000
18;J504_3.mm;0;0;21;CPM;0;21;4;37812;21;4;37812;21;405;50;3,880;0,260;0,082;0,444;0,156;0,778;0,422;4;0,860;1,720;0,238;0,106;0;1,000;2,000;0,499;0,020;3,000
19;J504_4.mm;0;0;19;2;1112200;19;1;4013000;19;4;15643;14;409;50;3,620;0,258;0,102;0,382;0,048;0,655;0,400;4;0,860;1,720;0,248;0,109;0;1,000;2,000;0,502;0,020;3,000
20;J504_5.mm;0;0;21;3;0;22;1;416000;0;0;0;18;413;50;3,820;0,262;0,061;0,217;0,117;0,613;0,210;4;0,850;1,700;0,254;0,114;0;1,000;2,000;0,500;0,020;3,000
21;J505_1.mm;0;0;20;CPM;0;20;1;319000;20;4;2033;20;387;50;4,060;0,268;0,061;0,159;0,086;0,503;0,333;4;0,900;1,800;0,246;0,114;0;0,850;1,700;0,748;0,016;3,000
22;J505_2.mm;0;0;18;CPM;0;18;1;319000;18;4;799;18;389;50;3,640;0,263;0,061;0,159;0,080;0,463;0,246;4;0,880;1,760;0,257;0,095;0;0,920;1,840;0,748;0,014;3,000
23;J505_3.mm;0;0;20;CPM;0;20;1;313000;20;4;2620;20;376;50;3,960;0,264;0,061;0,058;0,074;0,422;0,225;4;0,850;1,700;0,235;0,118;0;0,900;1,800;0,747;0,015;3,000
24;J505_4.mm;0;0;18;CPM;0;18;1;320000;18;4;49804;18;433;50;4,340;0,266;0,061;0,333;0,130;0,664;0,297;4;0,860;1,720;0,248;0,106;0;0,880;1,760;0,749;0,015;3,000
25;J505_5.mm;0;0;17;CPM;0;17;1;324000;17;4;9031;17;398;50;3,760;0,264;0,082;0,361;0,137;0,723;0,428;4;0,910;1,820;0,220;0,113;0;0,870;1,740;0,748;0,015;3,000
26;J506_1.mm;0;0;20;CPM;0;20;1;405000;20;4;1422;20;418;50;3,460;0,260;0,061;0,174;0,103;0,575;0,167;4;0,930;1,860;0,250;0,091;0;1,000;2,000;0,743;0,018;3,000
27;J506_2.mm;0;0;21;CPM;0;21;1;331000;21;4;2497;21;411;50;3,700;0,265;0,061;0,159;0,082;0,484;0,239;4;0,890;1,780;0,244;0,103;0;1,000;2,000;0,746;0,018;3,000
28;J506_3.mm;0;0;20;CPM;0;20;4;33539;20;4;33539;20;402;50;4,100;0,262;0,061;0,246;0,138;0,665;0,297;4;0,850;1,700;0,240;0,120;0;1,000;2,000;0,749;0,018;3,000
29;J506_4.mm;0;0;25;CPM;0;25;1;355000;25;4;2896;25;409;50;3,220;0,261;0,082;0,278;0,077;0,627;0,261;4;0,870;1,740;0,248;0,118;0;1,000;2,000;0,750;0,018;3,000
30;J506_5.mm;0;0;24;CPM;0;24;1;331000;24;4;8585;24;415;50;3,560;0,263;0,082;0,222;0,061;0,574;0,306;4;0,920;1,840;0,226;0,121;0;1,000;2,000;0,751;0,018;3,000
31;J507_1.mm;0;0;41;3;0;44;1;496000;0;0;0;20;417;50;3,680;0,264;0,082;0,306;0,085;0,550;0,428;4;1,000;2,000;0,243;0,152;0;0,870;1,740;0,249;0,035;3,000
32;J507_2.mm;0;0;41;3;0;42;1;481000;0;0;0;23;394;50;3,580;0,264;0,082;0,306;0,094;0,616;0,378;4;1,000;2,000;0,246;0,151;0;0,830;1,660;0,245;0,038;3,000
33;J507_3.mm;0;0;39;3;0;41;1;438000;0;0;0;20;411;50;3,820;0,262;0,082;0,417;0,113;0,741;0,394;4;1,000;2,000;0,243;0,154;0;0,800;1,600;0,252;0,036;3,000
34;J507_4.mm;0;0;42;3;0;45;1;45000;0;0;0;22;382;50;3,780;0,261;0,061;0,101;0,078;0,516;0,123;4;1,000;2,000;0,258;0,174;0;0,820;1,640;0,241;0,038;3,000
35;J507_5.mm;0;0;39;3;0;40;5;4802;0;0;0;13;377;50;4,420;0,266;0,061;0,333;0,117;0,644;0,370;4;1,000;2,000;0,247;0,165;0;0,830;1,660;0,245;0,037;3,000
36;J508_1.mm;0;0;34;3;0;36;5;3632;0;0;0;15;413;50;3,880;0,263;0,061;0,159;0,072;0,454;0,225;4;1,000;2,000;0,245;0,155;0;1,000;2,000;0,249;0,022;3,000
37;J508_2.mm;0;0;29;3;0;31;1;444000;0;0;0;17;412;50;3,700;0,264;0,082;0,361;0,073;0,643;0,433;4;1,000;2,000;0,247;0,134;0;1,000;2,000;0,253;0,022;3,000
38;J508_3.mm;0;0;32;3;0;33;1;445000;0;0;0;17;386;50;3,860;0,264;0,061;0,275;0,104;0,639;0,225;4;1,000;2,000;0,242;0,162;0;1,000;2,000;0,249;0,022;3,000
39;J508_4.mm;0;0;32;3;0;34;1;406000;0;0;0;22;415;50;3,960;0,264;0,061;0,275;0,124;0,658;0,275;4;1,000;2,000;0,244;0,145;0;1,000;2,000;0,243;0,022;3,000
40;J508_5.mm;0;0;40;3;0;42;1;406000;0;0;0;23;406;50;3,580;0,262;0,082;0,306;0,090;0,695;0,378;4;1,000;2,000;0,246;0,176;0;1,000;2,000;0,254;0,022;3,000
41;J509_1.mm;0;0;31;3;0;32;1;430000;0;0;0;19;403;50;3,180;0,263;0,082;0,278;0,072;0,635;0,344;4;1,000;2,000;0,246;0,174;0;0,880;1,760;0,500;0,022;3,000
42;J509_2.mm;0;0;23;3;0;24;1;391000;0;0;0;16;403;50;3,900;0,264;0,061;0,232;0,096;0,540;0,283;4;1,000;2,000;0,249;0,131;0;0,830;1,660;0,500;0,023;3,000
43;J509_3.mm;0;0;25;3;0;26;1;389000;0;0;0;19;402;50;3,480;0,264;0,082;0,389;0,103;0,648;0,433;4;1,000;2,000;0,249;0,149;0;0,850;1,700;0,500;0,023;3,000
44;J509_4.mm;0;0;25;3;0;26;1;423000;0;0;0;14;390;50;4,420;0,266;0,061;0,333;0,117;0,644;0,370;4;1,000;2,000;0,253;0,163;0;0,880;1,760;0,503;0,021;3,000
45;J509_5.mm;0;0;27;3;0;28;1;412000;0;0;0;20;410;50;3,620;0,261;0,082;0,222;0,042;0,556;0,350;4;1,000;2,000;0,247;0,154;0;0,860;1,720;0,499;0,022;3,000
46;J5010_1.mm;0;0;26;4;33472445;26;1;437000;26;4;33472445;17;400;50;3,860;0,263;0,061;0,290;0,111;0,617;0,319;4;1,000;2,000;0,245;0,129;0;1,000;2,000;0,498;0,020;3,000
47;J5010_2.mm;0;0;33;3;0;34;1;388000;0;0;0;18;415;50;3,600;0,264;0,061;0,130;0,076;0,538;0,203;4;1,000;2,000;0,241;0,166;0;1,000;2,000;0,501;0,020;3,000
48;J5010_3.mm;0;0;25;3;0;26;1;373000;0;0;0;14;398;50;3,920;0,264;0,061;0,290;0,111;0,617;0,333;4;1,000;2,000;0,247;0,129;0;1,000;2,000;0,498;0,020;3,000
49;J5010_4.mm;0;0;26;3;0;27;1;372000;0;0;0;17;376;50;4,000;0,261;0,061;0,246;0,091;0,605;0,246;4;1,000;2,000;0,246;0,153;0;1,000;2,000;0,502;0,020;3,000
50;J5010_5.mm;0;0;33;3;0;35;1;389000;0;0;0;20;427;50;3,780;0,264;0,082;0,306;0,063;0,602;0,417;4;1,000;2,000;0,246;0,179;0;1,000;2,000;0,500;0,020;3,000
51;J5011_1.mm;0;0;25;Capacity LB;0;25;4;1423678;25;4;1423678;19;386;50;4,340;0,267;0,061;0,304;0,135;0,657;0,275;4;1,000;2,000;0,243;0,168;0;0,870;1,740;0,748;0,015;3,000
52;J5011_2.mm;0;0;27;Capacity LB;0;28;1;302000;0;0;0;20;401;50;3,480;0,260;0,082;0,333;0,078;0,686;0,311;4;1,000;2,000;0,270;0,162;0;0,840;1,680;0,749;0,016;3,000
53;J5011_3.mm;0;0;27;Capacity LB;0;28;1;314000;0;0;0;18;375;50;4,060;0,268;0,061;0,159;0,086;0,503;0,333;4;1,000;2,000;0,241;0,165;0;0,830;1,660;0,748;0,017;3,000
54;J5011_4.mm;0;0;23;3;0;24;1;271000;0;0;0;20;397;50;3,960;0,264;0,082;0,250;0,092;0,556;0,333;4;1,000;2,000;0,247;0,141;0;0,820;1,640;0,746;0,017;3,000
55;J5011_5.mm;0;0;29;Capacity LB;0;29;1;276000;0;0;0;16;400;50;4,100;0,265;0,082;0,306;0,088;0,605;0,456;4;1,000;2,000;0,244;0,155;0;0,850;1,700;0,748;0,016;3,000
56;J5012_1.mm;0;0;26;3;0;26;1;3806000;0;0;0;17;403;50;3,640;0,260;0,082;0,333;0,077;0,655;0,372;4;1,000;2,000;0,249;0,152;0;1,000;2,000;0,746;0,018;3,000
57;J5012_2.mm;0;0;30;3;0;30;1;346000;0;0;0;16;413;50;4,100;0,266;0,061;0,174;0,097;0,462;0,304;4;1,000;2,000;0,244;0,154;0;1,000;2,000;0,750;0,018;3,000
58;J5012_3.mm;0;0;22;3;0;23;1;345000;0;0;0;18;396;50;3,980;0,261;0,061;0,217;0,089;0,566;0,203;4;1,000;2,000;0,242;0,146;0;1,000;2,000;0,747;0,018;3,000
59;J5012_4.mm;0;0;25;3;0;25;6;0;0;0;0;17;396;50;3,480;0,261;0,082;0,361;0,098;0,676;0,394;4;1,000;2,000;0,248;0,140;0;1,000;2,000;0,749;0,018;3,000
60;J5012_5.mm;0;0;25;3;0;25;1;334000;25;4;184661;21;387;50;3,620;0,261;0,082;0,222;0,042;0,556;0,350;4;1,000;2,000;0,247;0,149;0;1,000;2,000;0,745;0,018;3,000
61;J5013_1.mm;0;0;25;2;70;25;1;723000;25;4;5844;23;402;50;3,320;0,263;0,082;0,361;0,099;0,674;0,350;4;0,860;1,720;0,528;0,060;0;0,900;1,800;0,244;0,038;3,000
62;J5013_2.mm;0;0;29;2;470;29;1;705000;29;4;9076;21;399;50;3,680;0,267;0,082;0,306;0,081;0,616;0,367;4;0,890;1,780;0,525;0,067;0;0,840;1,680;0,241;0,037;3,000
63;J5013_3.mm;0;0;28;2;370;28;1;669000;28;4;8607;20;416;50;3,520;0,264;0,061;0,130;0,088;0,557;0,210;4;0,940;1,880;0,500;0,067;0;0,840;1,680;0,245;0,035;3,000
64;J5013_4.mm;0;0;24;2;230;24;1;785000;24;4;248;16;396;50;4,060;0,264;0,061;0,275;0,131;0,656;0,312;4;0,830;1,660;0,496;0,067;0;0,900;1,800;0,249;0,035;3,000
65;J5013_5.mm;0;0;24;2;240;24;1;602000;24;4;479;17;394;50;3,900;0,264;0,082;0,417;0,122;0,745;0,417;4;0,880;1,760;0,497;0,062;0;0,800;1,600;0,244;0,038;3,000
66;J5014_1.mm;0;0;23;2;1140;23;1;431000;23;4;1680;22;423;50;3,800;0,265;0,082;0,306;0,104;0,693;0,406;4;0,870;1,740;0,534;0,061;0;1,000;2,000;0,250;0,022;3,000
67;J5014_2.mm;0;0;21;2;310;21;1;435000;21;4;1651;20;399;50;4,120;0,263;0,061;0,217;0,115;0,584;0,196;4;0,850;1,700;0,509;0,073;0;1,000;2,000;0,251;0,022;3,000
68;J5014_3.mm;0;0;22;2;250;22;1;436000;22;4;467;19;401;50;4,220;0,260;0,082;0,306;0,092;0,631;0,406;4;0,850;1,700;0,514;0,061;0;1,000;2,000;0,247;0,022;3,000
69;J5014_4.mm;0;0;20;2;170;20;1;381000;20;4;277;18;423;50;4,040;0,263;0,082;0,333;0,099;0,574;0,417;4;0,910;1,820;0,500;0,050;0;1,000;2,000;0,252;0,022;3,000
70;J5014_5.mm;0;0;19;2;130;19;1;393000;19;4;315;18;386;50;3,800;0,264;0,061;0,319;0,102;0,618;0,304;4;0,860;1,720;0,495;0,051;0;1,000;2,000;0,245;0,022;3,000
71;J5015_1.mm;0;0;19;CPM;0;19;1;435000;19;4;334;19;386;50;3,420;0,265;0,061;0,203;0,106;0,597;0,217;4;0,860;1,720;0,464;0,064;0;0,910;1,820;0,501;0,020;3,000
72;J5015_2.mm;0;0;25;CPM;0;25;1;397000;25;4;411;25;408;50;3,900;0,264;0,061;0,217;0,101;0,609;0,261;4;0,890;1,780;0,496;0,065;0;0,850;1,700;0,504;0,022;3,000
73;J5015_3.mm;0;0;17;CPM;0;17;1;433000;17;4;299;17;396;50;3,440;0,264;0,082;0,333;0,075;0,676;0,411;4;0,840;1,680;0,493;0,066;0;0,860;1,720;0,504;0,022;3,000
74;J5015_4.mm;0;0;23;CPM;0;23;1;385000;23;4;369;23;408;50;4,140;0,263;0,061;0,203;0,116;0,624;0,210;4;0,930;1,860;0,490;0,059;0;0,830;1,660;0,502;0,023;3,000
75;J5015_5.mm;0;0;18;CPM;0;18;1;415000;18;4;368;18;421;50;3,680;0,262;0,082;0,278;0,084;0,649;0,356;4;0,870;1,740;0,503;0,065;0;0,860;1,720;0,498;0,022;3,000
76;J5016_1.mm;0;0;17;CPM;0;17;1;387000;17;4;250;17;402;50;4,220;0,265;0,061;0,275;0,105;0,584;0,283;4;0,900;1,800;0,503;0,053;0;1,000;2,000;0,500;0,020;3,000
77;J5016_2.mm;0;0;16;CPM;0;16;1;366000;16;4;8672;16;385;50;3,440;0,266;0,061;0,203;0,109;0,595;0,246;4;0,870;1,740;0,451;0,078;0;1,000;2,000;0,502;0,020;3,000
78;J5016_3.mm;0;0;18;CPM;0;18;1;414000;18;4;283;18;428;50;3,760;0,261;0,082;0,361;0,096;0,688;0,367;4;0,850;1,700;0,493;0,064;0;1,000;2,000;0,500;0,020;3,000
79;J5016_4.mm;0;0;19;CPM;0;19;1;390000;19;4;435;19;409;50;3,880;0,262;0,082;0,278;0,072;0,613;0,394;4;0,860;1,720;0,464;0,060;0;1,000;2,000;0,504;0,020;3,000
80;J5016_5.mm;0;0;26;CPM;0;26;1;411000;26;4;819;26;420;50;3,520;0,263;0,082;0,250;0,072;0,638;0,389;4;0,870;1,740;0,500;0,080;0;1,000;2,000;0,500;0,020;3,000
81;J5017_1.mm;0;0;17;CPM;0;17;1;338000;17;4;169;17;420;50;3,980;0,261;0,061;0,217;0,089;0,566;0,203;4;0,910;1,820;0,490;0,059;0;0,910;1,820;0,744;0,014;3,000
82;J5017_2.mm;0;0;20;CPM;0;20;1;331000;20;4;214;20;403;50;3,660;0,263;0,082;0,250;0,059;0,506;0,350;4;0,860;1,720;0,487;0,073;0;0,870;1,740;0,746;0,015;3,000
83;J5017_3.mm;0;0;16;CPM;0;16;1;308000;16;4;163;16;374;50;3,300;0,264;0,082;0,361;0,071;0,684;0,333;4;0,810;1,620;0,497;0,073;0;0,860;1,720;0,749;0,015;3,000
84;J5017_4.mm;0;0;15;CPM;0;15;1;335000;15;4;178;15;407;50;4,120;0,263;0,061;0,217;0,115;0,584;0,196;4;0,870;1,740;0,503;0,069;0;0,880;1,760;0,747;0,015;3,000
85;J5017_5.mm;0;0;18;CPM;0;18;1;325000;18;4;126;18;386;50;4,020;0,262;0,061;0,261;0,125;0,671;0,246;4;0,870;1,740;0,497;0,061;0;0,880;1,760;0,745;0,015;3,000
86;J5018_1.mm;0;0;24;CPM;0;24;1;275000;24;4;335;24;394;50;3,540;0,260;0,082;0,389;0,103;0,641;0,422;4;0,900;1,800;0,497;0,057;0;1,000;2,000;0,748;0,018;3,000
87;J5018_2.mm;0;0;20;CPM;0;20;1;351000;20;4;364;20;381;50;3,840;0,261;0,061;0,261;0,127;0,641;0,232;4;0,860;1,720;0,476;0,074;0;1,000;2,000;0,744;0,018;3,000
88;J5018_3.mm;0;0;16;CPM;0;16;1;347000;16;4;346;16;387;50;4,100;0,262;0,061;0,217;0,094;0,591;0,188;4;0,840;1,680;0,524;0,074;0;1,000;2,000;0,750;0,018;3,000
89;J5018_4.mm;0;0;19;CPM;0;19;1;373000;19;4;263;19;394;50;4,000;0,264;0,061;0,217;0,116;0,593;0,275;4;0,890;1,780;0,484;0,059;0;1,000;2,000;0,748;0,018;3,000
90;J5018_5.mm;0;0;17;CPM;0;17;1;294000;17;4;267;17;400;50;3,740;0,262;0,082;0,444;0,110;0,725;0,394;4;0,860;1,720;0,494;0,064;0;1,000;2,000;0,750;0,018;3,000
91;J5019_1.mm;0;0;29;2;1840;29;1;728000;29;4;3280;18;385;50;3,520;0,260;0,082;0,361;0,065;0,655;0,317;4;1,000;2,000;0,497;0,092;0;0,850;1,700;0,244;0,038;3,000
92;J5019_2.mm;0;0;27;2;3150;27;1;522000;27;4;10986;17;412;50;4,100;0,264;0,061;0,261;0,120;0,680;0,275;4;1,000;2,000;0,582;0,082;0;0,870;1,740;0,250;0,034;3,000
93;J5019_3.mm;0;0;31;2;360;31;1;707000;31;4;4569;21;405;50;3,860;0,264;0,082;0,361;0,079;0,656;0,411;4;1,000;2,000;0,478;0,081;0;0,830;1,660;0,243;0,038;3,000
94;J5019_4.mm;0;0;25;2;2310;25;1;714000;25;4;3965;17;394;50;4,040;0,263;0,082;0,333;0,099;0,574;0,417;4;1,000;2,000;0,498;0,077;0;0,890;1,780;0,247;0,036;3,000
95;J5019_5.mm;0;0;28;2;151160;28;1;569000;28;4;30875;17;408;50;3,600;0,264;0,061;0,130;0,076;0,538;0,203;4;1,000;2,000;0,495;0,090;0;0,860;1,720;0,243;0,038;3,000
96;J5020_1.mm;0;0;30;3;0;30;1;394000;30;4;12548;29;412;50;3,620;0,265;0,102;0,409;0,117;0,738;0,495;4;1,000;2,000;0,497;0,101;0;1,000;2,000;0,248;0,022;3,000
97;J5020_2.mm;0;0;26;3;0;26;1;415000;26;4;524390;24;398;50;3,620;0,265;0,102;0,409;0,117;0,738;0,495;4;1,000;2,000;0,474;0,102;0;1,000;2,000;0,253;0,022;3,000
98;J5020_3.mm;0;0;23;2;10340;23;1;398000;23;4;4956;18;388;50;3,380;0,259;0,082;0,250;0,063;0,575;0,300;4;1,000;2,000;0,497;0,090;0;1,000;2,000;0,246;0,022;3,000
99;J5020_4.mm;0;0;24;3;0;25;1;389000;0;0;0;21;385;50;3,660;0,264;0,082;0,361;0,080;0,691;0,339;4;1,000;2,000;0,498;0,100;0;1,000;2,000;0,252;0,022;3,000
100;J5020_5.mm;0;0;25;3;0;25;4;1028113;25;4;1028113;22;399;50;4,100;0,263;0,082;0,306;0,073;0,613;0,389;4;1,000;2,000;0,545;0,104;0;1,000;2,000;0,253;0,022;3,000
101;J5021_1.mm;0;0;18;3;0;18;1;401000;18;4;22937433;17;407;50;3,840;0,264;0,061;0,159;0,076;0,535;0,254;4;1,000;2,000;0,497;0,096;0;0,860;1,720;0,500;0,022;3,000
102;J5021_2.mm;0;0;21;CPM;0;21;1;446000;21;4;2393;21;404;50;4,120;0,264;0,061;0,246;0,122;0,621;0,254;4;1,000;2,000;0,497;0,085;0;0,870;1,740;0,498;0,022;3,000
103;J5021_3.mm;0;0;21;CPM;0;21;1;404000;21;4;606;21;387;50;3,540;0,260;0,082;0,389;0,103;0,641;0,422;4;1,000;2,000;0,498;0,078;0;0,840;1,680;0,497;0,023;3,000
104;J5021_4.mm;0;0;18;CPM;0;18;1;498000;18;4;3102;18;403;50;3,980;0,264;0,061;0,261;0,079;0,488;0,261;4;1,000;2,000;0,497;0,091;0;0,940;1,880;0,502;0,020;3,000
105;J5021_5.mm;0;0;17;3;0;17;1;413000;17;4;73991;16;397;50;3,460;0,263;0,082;0,250;0,097;0,669;0,356;4;1,000;2,000;0,549;0,099;0;0,860;1,720;0,497;0,022;3,000
106;J5022_1.mm;0;0;20;3;0;20;1;377000;20;4;3596;19;417;50;3,620;0,265;0,102;0,409;0,117;0,738;0,495;4;1,000;2,000;0,513;0,091;0;1,000;2,000;0,503;0,020;3,000
107;J5022_2.mm;0;0;20;CPM;0;20;1;391000;20;4;2324;20;395;50;3,620;0,263;0,082;0,306;0,070;0,651;0,333;4;1,000;2,000;0,453;0,106;0;1,000;2,000;0,504;0,020;3,000
108;J5022_3.mm;0;0;18;CPM;0;18;1;384000;18;4;4352;18;420;50;3,800;0,260;0,061;0,261;0,099;0,594;0,239;4;1,000;2,000;0,498;0,073;0;1,000;2,000;0,502;0,020;3,000
109;J5022_4.mm;0;0;21;CPM;0;21;1;343000;21;4;2435;21;401;50;3,640;0,264;0,061;0,159;0,092;0,606;0,239;4;1,000;2,000;0,480;0,093;0;1,000;2,000;0,495;0,020;3,000
110;J5022_5.mm;0;0;22;CPM;0;22;6;0;0;0;0;22;411;50;4,120;0,268;0,061;0,116;0,103;0,506;0,275;4;1,000;2,000;0,498;0,095;0;1,000;2,000;0,498;0,020;3,000
111;J5023_1.mm;0;0;17;3;0;17;1;318000;17;4;8524;15;382;50;3,900;0,260;0,061;0,203;0,103;0,581;0,196;4;1,000;2,000;0,486;0,092;0;0,890;1,780;0,747;0,014;3,000
112;J5023_2.mm;0;0;19;CPM;0;19;1;319000;19;4;2718;19;413;50;4,140;0,265;0,061;0,246;0,122;0,633;0,297;4;1,000;2,000;0,500;0,092;0;0,890;1,780;0,749;0,015;3,000
113;J5023_3.mm;0;0;20;CPM;0;20;1;334000;20;4;604;20;414;50;3,780;0,264;0,082;0,333;0,109;0,688;0,422;4;1,000;2,000;0,498;0,078;0;0,890;1,780;0,750;0,015;3,000
114;J5023_4.mm;0;0;16;3;0;16;1;313000;16;4;3218;14;413;50;3,940;0,264;0,061;0,217;0,077;0,555;0,239;4;1,000;2,000;0,498;0,083;0;0,880;1,760;0,746;0,015;3,000
115;J5023_5.mm;0;0;22;CPM;0;22;1;367000;22;4;300;22;391;50;3,180;0,264;0,082;0,333;0,091;0,568;0,383;4;1,000;2,000;0,498;0,080;0;0,920;1,840;0,747;0,014;3,000
116;J5024_1.mm;0;0;16;CPM;0;16;4;1017502;16;4;1017502;16;400;50;3,540;0,260;0,082;0,250;0,043;0,594;0,372;4;1,000;2,000;0,585;0,089;0;1,000;2,000;0,751;0,018;3,000
117;J5024_2.mm;0;0;18;CPM;0;18;1;399000;18;4;3787;18;407;50;3,760;0,263;0,082;0,389;0,085;0,682;0,394;4;1,000;2,000;0,495;0,087;0;1,000;2,000;0,745;0,018;3,000
118;J5024_3.mm;0;0;23;CPM;0;23;1;373000;23;4;938;23;393;50;3,780;0,264;0,082;0,333;0,109;0,688;0,422;4;1,000;2,000;0,498;0,078;0;1,000;2,000;0,747;0,018;3,000
119;J5024_4.mm;0;0;18;CPM;0;18;1;369000;18;4;2920;18;402;50;3,820;0,262;0,061;0,217;0,117;0,613;0,210;4;1,000;2,000;0,493;0,079;0;1,000;2,000;0,749;0,018;3,000
120;J5024_5.mm;0;0;18;CPM;0;18;1;366000;18;4;3515;18;409;50;3,800;0,264;0,061;0,319;0,102;0,618;0,304;4;1,000;2,000;0,498;0,072;0;1,000;2,000;0,749;0,018;3,000
121;J5025_1.mm;0;0;24;2;200;24;1;569000;24;4;5909;18;396;50;3,840;0,264;0,082;0,250;0,074;0,603;0,361;4;0,900;1,800;0,764;0,048;0;0,800;1,600;0,245;0,036;3,000
122;J5025_2.mm;0;0;27;2;290;27;1;806000;27;4;6530;19;395;50;3,680;0,260;0,061;0,174;0,094;0,553;0,181;4;0,890;1,780;0,741;0,044;0;0,870;1,740;0,252;0,036;3,000
